,,,,,기관,외국인,외국인,외국인
날짜,종가,전일비,등락률,거래량,순매매량,순매매량,보유주수,보유율
2021.02.15,"84,200",2600,3.19%,"23,529,706","-408,779","3,547,142","3,276,017,591",54.88%
2021.02.10,"81,600",-1100,-1.33%,"23,025,766","-4,684,311","-2,817,237","3,272,470,449",54.82%
2021.02.09,"82,700",-300,-0.36%,"20,898,332","-557,102","-1,867,221","3,275,509,980",54.87%
2021.02.08,"83,000",-500,-0.60%,"15,338,765","1,046,695","-263,370","3,278,086,074",54.91%
2021.02.05,"83,500",1000,1.21%,"18,036,835","902,128","393,388","3,279,401,217",54.93%
2021.02.04,"82,500",-2100,-2.48%,"24,171,688","-7,315,364","-3,526,489","3,279,513,829",54.94%
2021.02.03,"84,600",200,0.24%,"22,112,205","-3,259,808","-1,316,740","3,283,020,318",54.99%
2021.02.02,"84,400",1400,1.69%,"26,302,077","756,444","-64,912","3,284,347,058",55.02%
2021.02.01,"83,000",1000,1.22%,"28,046,832","522,310","-2,160,807","3,284,411,970",55.02%
2021.01.29,"82,000",-1700,-2.03%,"39,615,978","-39,104","-5,152,101","3,287,064,777",55.06%
2021.01.28,"83,700",-1900,-2.22%,"31,859,808","-2,224,634","-6,983,117","3,292,136,878",55.15%
2021.01.27,"85,600",-1100,-1.27%,"26,423,070","-2,782,056","-4,284,899","3,299,185,995",55.26%
2021.01.26,"86,700",-2700,-3.02%,"33,178,936","-8,809,122","-7,916,221","3,302,788,894",55.33%
2021.01.25,"89,400",2600,3.00%,"27,258,534","3,020,462","1,544,116","3,310,592,511",55.46%
2021.01.22,"86,800",-1300,-1.48%,"30,861,661","-6,384,793","-3,582,051","3,308,862,803",55.43%
2021.01.21,"88,100",900,1.03%,"25,318,011","-712,099","-1,870,645","3,312,439,854",55.49%
2021.01.20,"87,200",200,0.23%,"25,211,127","-4,157,919","-1,037,442","3,314,318,499",55.52%
2021.01.19,"87,000",2000,2.35%,"39,895,044","1,139,258","943,412","3,315,466,941",55.54%
2021.01.18,"85,000",-3000,-3.41%,"43,227,951","505,669","-911,353","3,313,900,306",55.51%
2021.01.15,"88,000",-1700,-1.90%,"33,431,809","-5,006,115","-2,787,267","3,314,891,659",55.53%
2021.01.14,"89,700",0,0.00%,"26,393,970","-5,859,292","2,722,186","3,317,574,926",55.57%
2021.01.13,"89,700",-900,-0.99%,"36,068,848","-1,794,818","-2,900,067","3,314,652,740",55.52%
2021.01.12,"90,600",-400,-0.44%,"48,682,416","-5,885,518","-2,469,963","3,316,551,070",55.56%
2021.01.11,"91,000",2200,2.48%,"90,306,177","-13,590,286","-5,511,015","3,318,676,206",55.59%
2021.01.08,"88,800",5900,7.12%,"59,013,307","-5,082,378","7,037,607","3,324,115,988",55.68%
2021.01.07,"82,900",700,0.85%,"32,644,642","2,989,615","-2,377,325","3,314,966,371",55.53%
2021.01.06,"82,200",-1700,-2.03%,"42,089,013","-5,326,921","-7,031,774","3,317,753,686",55.58%
2021.01.05,"83,900",900,1.08%,"35,335,669","-2,477,973","-5,201,310","3,324,161,540",55.68%
2021.01.04,"83,000",2000,2.47%,"38,655,276","-3,986,032","-4,627,298","3,326,912,850",55.73%
2020.12.30,"81,000",2700,3.45%,"29,417,421","1,204,866","-332,172","3,326,606,260",55.72%
2020.12.29,"78,300",-400,-0.51%,"30,339,449","-6,166,523","-3,186,568","3,327,108,382",55.73%
2020.12.28,"78,700",900,1.16%,"40,085,044","2,397,653","-2,447,730","3,332,143,450",55.82%
2020.12.24,"77,800",3900,5.28%,"32,502,870","3,706,372","188,607","3,335,680,180",55.88%
2020.12.23,"73,900",1600,2.21%,"19,411,326","1,824,496","382,115","3,338,473,775",55.92%
2020.12.22,"72,300",-700,-0.96%,"16,304,910","-691,490","-681,873","3,337,652,600",55.91%
2020.12.21,"73,000",0,0.00%,"20,367,355","87,322","-1,949,880","3,338,406,761",55.92%
2020.12.18,"73,000",-300,-0.41%,"17,613,029","-623,279","-1,008,432","3,340,164,669",55.95%
2020.12.17,"73,300",-500,-0.68%,"24,293,214","296,221","-3,508,951","3,341,909,874",55.98%
2020.12.16,"73,800",0,0.00%,"17,512,081","725,675","-2,134,029","3,344,767,532",56.03%
2020.12.15,"73,800",0,0.00%,"20,863,671","-694,761","-1,330,709","3,348,503,431",56.09%
2020.12.14,"73,800",400,0.54%,"21,510,415","-2,076,765","-161,080","3,350,768,177",56.13%
2020.12.11,"73,400",500,0.69%,"18,486,672","22,702","-1,993,916","3,351,615,396",56.14%
2020.12.10,"72,900",-1000,-1.35%,"39,882,928","-1,190,759","-8,224,384","3,354,485,806",56.19%
2020.12.09,"73,900",2200,3.07%,"24,077,996","812,363","-337,703","3,363,404,671",56.34%
2020.12.08,"71,700",-1200,-1.65%,"25,000,338","-810,198","-3,529,279","3,364,206,224",56.35%
2020.12.07,"72,900",1400,1.96%,"28,490,496","-2,772,092","258,736","3,367,719,318",56.41%
2020.12.04,"71,500",1800,2.58%,"28,130,533","-787,542","2,584,465","3,367,568,445",56.41%
2020.12.03,"69,700",200,0.29%,"23,677,989","-2,666,867","498,240","3,365,148,246",56.37%
2020.12.02,"69,500",1700,2.51%,"29,703,942","-557,183","2,764,241","3,364,828,006",56.36%
2020.12.01,"67,800",1100,1.65%,"22,327,173","1,463,114","-826,082","3,361,671,765",56.31%
2020.11.30,"66,700",-1500,-2.20%,"43,811,016","1,066,542","-12,669,699","3,362,502,847",56.33%
2020.11.27,"68,200",200,0.29%,"14,063,434","-1,440,589","514,657","3,375,203,046",56.54%
2020.11.26,"68,000",1400,2.10%,"19,023,323","-2,276,544","1,575,675","3,377,745,389",56.58%
2020.11.25,"66,600",-1100,-1.62%,"32,447,065","466,158","-4,445,653","3,376,465,034",56.56%
2020.11.24,"67,700",200,0.30%,"32,158,235","-3,009,197","2,110,398","3,380,860,470",56.63%
2020.11.23,"67,500",2800,4.33%,"27,134,398","637,477","3,796,824","3,378,913,075",56.60%
2020.11.20,"64,700",100,0.15%,"15,068,682","-1,150,454","-423,971","3,374,405,884",56.52%
2020.11.19,"64,600",-200,-0.31%,"16,590,290","-966,779","-672,178","3,374,440,535",56.53%
2020.11.18,"64,800",-900,-1.37%,"22,963,790","372,944","-1,234,779","3,375,031,754",56.54%
2020.11.17,"65,700",-600,-0.90%,"30,204,089","-1,791,090","1,442,343","3,376,328,996",56.56%
2020.11.16,"66,300",3100,4.91%,"36,354,334","-404,265","5,733,408","3,374,837,153",56.53%
2020.11.13,"63,200",2200,3.61%,"31,508,829","2,560,165","9,284,803","3,369,821,874",56.45%
2020.11.12,"61,000",-300,-0.49%,"19,800,573","-3,535,683","4,164,049","3,360,486,981",56.29%
2020.11.11,"61,300",1100,1.83%,"25,628,510","2,516,456","7,550,003","3,356,653,932",56.23%
2020.11.10,"60,200",0,0.00%,"19,073,552","-2,203,636","929,444","3,349,024,840",56.10%
2020.11.09,"60,200",100,0.17%,"15,892,961","1,011,967","2,158,652","3,347,475,796",56.07%
2020.11.06,"60,100",-200,-0.33%,"16,910,230","-628,196","2,625,125","3,345,291,144",56.04%
2020.11.05,"60,300",1800,3.08%,"20,639,475","2,049,526","6,987,679","3,342,651,269",55.99%
2020.11.04,"58,500",-300,-0.51%,"21,718,561","2,521,227","-5,719,023","3,335,740,266",55.88%
2020.11.03,"58,800",1400,2.44%,"14,950,919","1,864,007","428,359","3,341,340,625",55.97%
2020.11.02,"57,400",800,1.41%,"20,489,076","-807,123","-442,384","3,341,249,266",55.97%
2020.10.30,"56,600",-1500,-2.58%,"26,907,844","-2,649,034","-6,411,204","3,343,353,450",56.00%
2020.10.29,"58,100",-900,-1.53%,"22,636,966","-4,546,669","-2,966,286","3,351,228,371",56.14%
2020.10.28,"59,000",-800,-1.34%,"14,428,882","-2,063,514","-1,318,019","3,352,024,087",56.15%
2020.10.27,"59,800",-600,-0.99%,"17,260,416","-2,725,238","62,007","3,353,453,906",56.17%
2020.10.26,"60,400",200,0.33%,"13,268,226","687,782","848,464","3,353,510,233",56.17%
2020.10.23,"60,200",100,0.17%,"9,322,232","-58,971","-141,807","3,352,649,769",56.16%
2020.10.22,"60,100",-800,-1.31%,"14,294,095","94,692","-2,680,294","3,352,764,576",56.16%
2020.10.21,"60,900",0,0.00%,"15,703,443","-461,716","1,471,186","3,355,422,870",56.21%
2020.10.20,"60,900",900,1.50%,"19,326,115","1,671,130","4,836,152","3,353,917,884",56.18%
2020.10.19,"60,000",500,0.84%,"14,474,985","899,588","331,214","3,349,021,732",56.10%
2020.10.16,"59,500",-500,-0.83%,"16,554,190","122,602","-566,793","3,348,684,518",56.09%
2020.10.15,"60,000",-900,-1.48%,"17,756,232","-238,001","-815,079","3,348,668,311",56.09%
2020.10.14,"60,900",0,0.00%,"16,086,716","-202,689","1,897,862","3,350,943,488",56.13%
2020.10.13,"60,900",500,0.83%,"19,247,631","621,683","2,150,744","3,349,585,626",56.11%
2020.10.12,"60,400",700,1.17%,"16,145,837","758,916","3,203,192","3,347,612,882",56.08%
2020.10.08,"59,700",-200,-0.33%,"24,589,924","-3,336,344","4,681,427","3,344,479,690",56.02%
2020.10.07,"59,900",900,1.53%,"14,861,838","2,005,178","1,143,103","3,339,820,163",55.95%
2020.10.06,"59,000",300,0.51%,"14,463,826","-431,413","765,371","3,337,046,323",55.90%
2020.10.05,"58,700",500,0.86%,"20,228,289","1,590,890","-986,710","3,334,548,952",55.86%
2020.09.29,"58,200",0,0.00%,"15,503,563","302,067","-1,557,336","3,334,623,662",55.86%
2020.09.28,"58,200",300,0.52%,"12,614,080","1,067,096","-1,452,331","3,336,360,998",55.89%
2020.09.25,"57,900",100,0.17%,"11,444,683","-157,605","-951,798","3,338,304,491",55.92%
2020.09.24,"57,800",-800,-1.37%,"17,564,020","-302,216","-1,359,506","3,341,981,626",55.98%
2020.09.23,"58,600",400,0.69%,"20,111,398","-1,784,682","-137,178","3,342,846,232",56.00%
2020.09.22,"58,200",-1000,-1.69%,"20,830,381","-4,025,177","-46,933","3,342,059,914",55.98%
2020.09.21,"59,200",-100,-0.17%,"15,140,387","624,218","-924,627","3,341,968,766",55.98%
2020.09.18,"59,300",-200,-0.34%,"18,884,571","189,886","-1,902,331","3,342,907,742",56.00%
2020.09.17,"59,500",-1500,-2.46%,"25,108,356","-2,151,034","-2,069,084","3,344,901,755",56.03%
2020.09.16,"61,000",0,0.00%,"17,041,444","-1,703,549","3,119,269","3,346,611,159",56.06%
2020.09.15,"61,000",600,0.99%,"17,877,075","-1,867,006","4,153,125","3,343,427,056",56.01%
2020.09.14,"60,400",1400,2.37%,"20,648,281","1,491,903","1,112,623","3,343,795,931",56.01%
2020.09.11,"59,000",-200,-0.34%,"16,017,098","-1,081,621","-640,505","3,342,297,258",55.99%
2020.09.10,"59,200",800,1.37%,"29,923,293","-1,455,578","5,490,115","3,342,832,763",56.00%
2020.09.09,"58,400",-300,-0.51%,"30,597,399","320,935","2,296,962","3,337,163,648",55.90%
2020.09.08,"58,700",2200,3.89%,"31,517,520","2,888,255","4,573,201","3,334,864,895",55.86%
2020.09.07,"56,500",900,1.62%,"18,685,880","-897,885","-75,509","3,330,377,694",55.79%
2020.09.04,"55,600",-800,-1.42%,"22,139,109","-2,508,980","-1,959,260","3,330,417,203",55.79%
2020.09.03,"56,400",2000,3.68%,"28,384,920","265,036","4,005,421","3,332,550,013",55.82%
2020.09.02,"54,400",200,0.37%,"16,905,723","59,529","-1,235,282","3,328,550,592",55.76%
2020.09.01,"54,200",200,0.37%,"19,363,117","-952,340","-1,455,952","3,329,332,324",55.77%
2020.08.31,"54,000",-1400,-2.53%,"32,671,367","-509,866","-9,935,054","3,330,770,276",55.79%
2020.08.28,"55,400",-200,-0.36%,"14,619,888","428,036","-2,710,789","3,341,517,967",55.97%
2020.08.27,"55,600",-800,-1.42%,"16,196,568","-2,848,392","54,135","3,344,210,115",56.02%
2020.08.26,"56,400",0,0.00%,"17,651,593","-3,231,228","1,129,000","3,344,134,129",56.02%
2020.08.25,"56,400",300,0.53%,"14,021,705","-1,178,636","295,977","3,341,734,801",55.98%
2020.08.24,"56,100",200,0.36%,"15,055,896","-1,193,461","175,091","3,341,629,824",55.98%
2020.08.21,"55,900",500,0.90%,"21,142,288","-1,567,729","1,136,340","3,341,272,741",55.97%
2020.08.20,"55,400",-2400,-4.15%,"30,386,029","-5,264,447","-403,133","3,339,587,610",55.94%
2020.08.19,"57,800",-600,-1.03%,"16,930,719","-798,341","-545,239","3,340,042,743",55.95%
2020.08.18,"58,400",400,0.69%,"25,307,825","3,604,406","1,259,980","3,340,442,432",55.96%
2020.08.14,"58,000",-700,-1.19%,"15,672,548","640,158","-1,233,886","3,337,403,113",55.90%
2020.08.13,"58,700",-300,-0.51%,"22,089,460","225,932","-1,326,650","3,338,717,100",55.93%
2020.08.12,"59,000",800,1.37%,"18,573,934","-52,490","232,723","3,339,953,185",55.95%
2020.08.11,"58,200",400,0.69%,"24,907,912","918,477","1,322,513","3,339,839,462",55.95%
2020.08.10,"57,800",300,0.52%,"17,774,291","-628,631","-226,046","3,339,282,837",55.94%
2020.08.07,"57,500",-500,-0.86%,"18,751,717","-3,358,271","1,439,330","3,339,289,268",55.94%
2020.08.06,"58,000",1100,1.93%,"21,625,874","147,756","635,304","3,337,635,274",55.91%
2020.08.05,"56,900",-400,-0.70%,"17,739,706","-2,880,624","-1,487,521","3,336,912,129",55.90%
2020.08.04,"57,300",500,0.88%,"19,419,694","-622,191","-1,190,734","3,338,111,034",55.92%
2020.08.03,"56,800",-1100,-1.90%,"21,158,940","-1,592,111","-3,135,997","3,339,228,864",55.94%
2020.07.31,"57,900",-1100,-1.86%,"21,943,345","-2,185,878","-1,323,211","3,342,603,301",55.99%
2020.07.30,"59,000",0,0.00%,"19,285,354","-1,028,015","1,579,114","3,343,814,043",56.01%
2020.07.29,"59,000",400,0.68%,"36,476,611","-1,453,164","4,824,113","3,342,000,929",55.98%
2020.07.28,"58,600",3000,5.40%,"48,431,566","214,491","15,914,662","3,337,129,816",55.90%
2020.07.27,"55,600",1400,2.58%,"21,054,421","1,564,238","7,030,481","3,320,606,041",55.62%
2020.07.24,"54,200",100,0.18%,"10,994,535","-1,060,195","1,393,479","3,313,429,996",55.50%
2020.07.23,"54,100",-600,-1.10%,"16,214,932","-2,749,215","-1,271,389","3,310,936,379",55.46%
2020.07.22,"54,700",-600,-1.08%,"12,885,057","-911,194","-389,686","3,312,100,431",55.48%
2020.07.21,"55,300",1100,2.03%,"18,297,260","1,532,617","5,693,182","3,312,295,217",55.48%
2020.07.20,"54,200",-200,-0.37%,"10,507,530","-1,177,682","1,132,513","3,306,586,922",55.39%
2020.07.17,"54,400",600,1.12%,"10,096,174","361,430","1,535,456","3,305,516,184",55.37%
2020.07.16,"53,800",-900,-1.65%,"16,779,127","41,031","-1,197,573","3,303,905,728",55.34%
2020.07.15,"54,700",900,1.67%,"24,051,450","2,163,330","5,427,340","3,304,889,075",55.36%
2020.07.14,"53,800",400,0.75%,"14,269,484","-1,611,705","2,298,828","3,299,408,509",55.27%
2020.07.13,"53,400",700,1.33%,"12,240,188","1,102,235","1,085,629","3,297,196,342",55.23%
2020.07.10,"52,700",-100,-0.19%,"13,714,746","-3,596,592","1,593,159","3,295,815,100",55.21%
2020.07.09,"52,800",-200,-0.38%,"17,054,850","-2,283,249","1,515,282","3,293,470,941",55.17%
2020.07.08,"53,000",-400,-0.75%,"19,664,652","-1,497,777","-219,073","3,291,961,659",55.14%
2020.07.07,"53,400",-1600,-2.91%,"30,760,032","-4,064,374","-624,573","3,291,151,037",55.13%
2020.07.06,"55,000",1400,2.61%,"19,856,623","4,362,954","1,362,620","3,291,695,610",55.14%
2020.07.03,"53,600",700,1.32%,"11,887,868","991,665","1,635,492","3,290,060,990",55.11%
2020.07.02,"52,900",300,0.57%,"14,142,583","-470,182","-89,151","3,288,523,498",55.09%
2020.07.01,"52,600",-200,-0.38%,"16,706,143","427,136","-1,647,290","3,287,946,503",55.08%
2020.06.30,"52,800",400,0.76%,"21,157,172","1,240,703","1,632,651","3,283,329,948",55.00%
2020.06.29,"52,400",-900,-1.69%,"17,776,925","-884,248","-539,375","3,281,656,297",54.97%
2020.06.26,"53,300",1400,2.70%,"21,575,360","1,444,962","2,271,105","3,282,572,808",54.99%
2020.06.25,"51,900",-1000,-1.89%,"18,541,624","-3,830,158","1,596,664","3,281,245,382",54.96%
2020.06.24,"52,900",1500,2.92%,"24,519,552","1,274,576","2,831,536","3,285,703,719",55.04%
2020.06.23,"51,400",-600,-1.15%,"18,086,152","-1,560,716","-477,586","3,287,043,232",55.06%
2020.06.22,"52,000",-900,-1.70%,"13,801,350","3,638","-1,395,681","3,287,560,818",55.07%
2020.06.19,"52,900",600,1.15%,"18,157,985","-517,686","1,985,577","3,288,708,153",55.09%
2020.06.18,"52,300",100,0.19%,"15,982,926","-409,485","265,763","3,286,829,576",55.06%
2020.06.17,"52,200",100,0.19%,"26,672,595","-151,661","1,749,193","3,286,480,463",55.05%
2020.06.16,"52,100",2200,4.41%,"21,808,375","3,110,321","-2,126,622","3,285,012,646",55.03%
2020.06.15,"49,900",-2400,-4.59%,"28,772,921","-3,866,544","-1,557,410","3,285,960,756",55.04%
2020.06.12,"52,300",-2000,-3.68%,"26,976,019","-1,817,006","-811,871","3,286,776,856",55.06%
2020.06.11,"54,300",-1100,-1.99%,"33,815,123","-6,695,404","-1,614,671","3,287,082,512",55.06%
2020.06.10,"55,400",-100,-0.18%,"16,742,493","1,089,492","-359,734","3,288,883,783",55.09%
2020.06.09,"55,500",600,1.09%,"23,998,831","-2,723,503","1,086,013","3,289,773,517",55.11%
2020.06.08,"54,900",-600,-1.08%,"25,634,965","-1,145,041","-1,650,246","3,289,350,504",55.10%
2020.06.05,"55,500",900,1.65%,"22,743,629","2,748,553","-113,210","3,290,944,570",55.13%
2020.06.04,"54,600",100,0.18%,"40,220,334","1,608,999","1,677,893","3,290,948,780",55.13%
2020.06.03,"54,500",3100,6.03%,"49,257,814","9,562,698","3,308,911","3,290,978,887",55.13%
2020.06.02,"51,400",200,0.39%,"14,247,933","901,384","-343,878","3,287,419,976",55.07%
2020.06.01,"51,200",500,0.99%,"16,949,183","2,097,711","-39,892","3,287,872,854",55.08%
2020.05.29,"50,700",300,0.60%,"27,596,961","-1,892,811","3,771,073","3,287,326,746",55.07%
2020.05.28,"50,400",500,1.00%,"31,309,318","2,771,160","2,427,076","3,283,445,773",55.00%
2020.05.27,"49,900",650,1.32%,"19,548,479","124,198","3,030,597","3,281,127,993",54.96%
2020.05.26,"49,250",400,0.82%,"15,127,490","1,661,696","-849,280","3,278,128,396",54.91%
2020.05.25,"48,850",100,0.21%,"14,337,913","223,787","-2,228,027","3,280,425,676",54.95%
2020.05.22,"48,750",-1200,-2.40%,"19,706,284","-2,867,180","-3,513,484","3,282,583,517",54.99%
2020.05.21,"49,950",-50,-0.10%,"14,949,266","-2,354,362","1,904,733","3,286,231,455",55.05%
2020.05.20,"50,000",-300,-0.60%,"14,896,899","-135,032","189,065","3,284,189,677",55.01%
2020.05.19,"50,300",1500,3.07%,"25,168,295","5,221,214","1,789,104","3,283,625,878",55.00%
2020.05.18,"48,800",950,1.99%,"20,481,981","1,776,147","1,117,278","3,281,319,439",54.97%
2020.05.15,"47,850",-150,-0.31%,"18,463,118","1,837,854","-2,099,134","3,281,944,496",54.98%
2020.05.14,"48,000",-550,-1.13%,"19,305,974","-1,274,757","-1,224,908","3,284,058,630",55.01%
2020.05.13,"48,550",650,1.36%,"20,223,277","-499,195","-518,283","3,285,433,538",55.03%
2020.05.12,"47,900",-500,-1.03%,"23,433,590","-3,274,163","-1,998,887","3,285,179,794",55.03%
2020.05.11,"48,400",-400,-0.82%,"16,357,743","-1,688,512","-1,265,851","3,284,649,709",55.02%
2020.05.08,"48,800",0,0.00%,"15,319,700","1,042,243","-2,215,231","3,286,011,560",55.04%
2020.05.07,"48,800",-400,-0.81%,"13,884,411","101,232","-1,436,754","3,287,441,055",55.07%
2020.05.06,"49,200",700,1.44%,"18,070,225","999,598","-1,676,942","3,288,439,782",55.08%
2020.05.04,"48,500",-1500,-3.00%,"26,083,749","-5,100,257","-5,896,678","3,290,008,482",55.11%
2020.04.29,"50,000",-100,-0.20%,"15,604,533","389,165","110,873","3,298,091,160",55.25%
2020.04.28,"50,100",250,0.50%,"16,095,399","-918,536","591,555","3,296,993,918",55.23%
2020.04.27,"49,850",500,1.01%,"14,049,471","2,250,026","-286,209","3,297,069,809",55.23%
2020.04.24,"49,350",-500,-1.00%,"15,618,347","-2,717,826","626,856","3,294,906,018",55.19%
2020.04.23,"49,850",0,0.00%,"18,754,442","704,438","-936,098","3,296,671,260",55.22%
2020.04.22,"49,850",600,1.22%,"18,613,864","-2,563,503","771,282","3,296,821,358",55.23%
2020.04.21,"49,250",-850,-1.70%,"27,407,543","-1,675,809","-3,781,566","3,295,280,076",55.20%
2020.04.20,"50,100",-1300,-2.53%,"21,866,354","-3,573,780","-1,251,874","3,297,064,694",55.23%
2020.04.17,"51,400",2400,4.90%,"32,041,675","2,323,777","5,171,880","3,295,137,974",55.20%
2020.04.16,"49,000",0,0.00%,"23,349,760","322,641","-1,070,848","3,288,869,291",55.09%
2020.04.14,"49,000",700,1.45%,"14,206,216","2,641,367","462,546","3,286,436,585",55.05%
2020.04.13,"48,300",-950,-1.93%,"14,431,800","-2,927,673","-351,433","3,287,412,726",55.07%
2020.04.10,"49,250",150,0.31%,"17,839,111","-2,431,095","519,504","3,288,583,502",55.09%
2020.04.09,"49,100",500,1.03%,"22,628,058","-1,336,475","97,223","3,287,903,491",55.08%
2020.04.08,"48,600",-1000,-2.02%,"25,010,314","-2,911,519","1,922,308","3,287,865,042",55.08%
2020.04.07,"49,600",900,1.85%,"31,524,034","1,106,192","1,064,316","3,285,448,980",55.03%
2020.04.06,"48,700",1700,3.62%,"23,395,726","5,980,825","-180,315","3,284,032,624",55.01%
2020.04.03,"47,000",200,0.43%,"22,784,682","-587,916","16,982","3,283,782,109",55.01%
2020.04.02,"46,800",1000,2.18%,"21,621,076","1,345,934","-1,508,544","3,282,743,807",54.99%
2020.04.01,"45,800",-1950,-4.08%,"27,259,532","-4,655,042","-2,406,349","3,282,913,127",54.99%
2020.03.31,"47,750",-100,-0.21%,"30,654,261","-3,001,427","-219,159","3,278,789,476",54.92%
2020.03.30,"47,850",-450,-0.93%,"26,797,395","-18,826","-1,037,969","3,277,315,082",54.90%
2020.03.27,"48,300",500,1.05%,"39,896,178","966,564","-3,176,172","3,279,266,668",54.93%
2020.03.26,"47,800",-850,-1.75%,"42,185,129","-3,707,948","525,908","3,292,258,117",55.15%
2020.03.25,"48,650",1700,3.62%,"52,735,922","-1,695,448","-2,751,527","3,294,832,165",55.19%
2020.03.24,"46,950",4450,10.47%,"49,801,908","3,254,324","2,929,769","3,301,417,123",55.30%
2020.03.23,"42,500",-2900,-6.39%,"41,701,626","-3,248,991","-8,143,293","3,297,694,883",55.24%
2020.03.20,"45,400",2450,5.70%,"49,730,008","1,669,124","-5,133,212","3,305,522,935",55.37%
2020.03.19,"42,950",-2650,-5.81%,"56,925,513","1,612,440","-5,807,616","3,307,989,649",55.41%
2020.03.18,"45,600",-1700,-3.59%,"40,152,623","-5,663,938","-1,177,328","3,311,183,096",55.47%
2020.03.17,"47,300",-1600,-3.27%,"51,218,151","2,488,584","-11,447,924","3,311,728,922",55.47%
2020.03.16,"48,900",-1050,-2.10%,"33,339,821","-3,277,723","-4,384,786","3,322,755,885",55.66%
2020.03.13,"49,950",-850,-1.67%,"59,462,933","4,036,953","-11,895,370","3,321,589,476",55.64%
2020.03.12,"50,800",-1300,-2.50%,"48,149,999","3,490,945","-9,094,728","3,332,243,792",55.82%
2020.03.11,"52,100",-2500,-4.58%,"45,707,281","-2,842,894","-10,348,533","3,341,401,720",55.97%
2020.03.10,"54,600",400,0.74%,"32,106,554","3,891,630","-6,462,688","3,351,584,933",56.14%
2020.03.09,"54,200",-2300,-4.07%,"30,261,485","-148,308","-9,954,094","3,358,278,619",56.25%
2020.03.06,"56,500",-1300,-2.25%,"18,716,656","-993,225","-2,754,138","3,368,279,127",56.42%
2020.03.05,"57,800",400,0.70%,"21,698,990","-851,793","-2,213,979","3,371,029,903",56.47%
2020.03.04,"57,400",2000,3.61%,"24,765,728","-1,047,440","3,089,603","3,373,668,756",56.51%
2020.03.03,"55,400",400,0.73%,"30,330,295","-1,698,368","-2,497,875","3,371,100,566",56.47%
2020.03.02,"55,000",800,1.48%,"30,403,412","2,215,716","-7,032,275","3,373,458,848",56.51%
2020.02.28,"54,200",-1700,-3.04%,"30,054,227","2,825,029","-5,179,418","3,379,998,117",56.62%
2020.02.27,"55,900",-600,-1.06%,"23,209,541","-110,165","-2,961,120","3,386,320,457",56.72%
2020.02.26,"56,500",-1400,-2.42%,"25,483,102","505,796","-7,059,273","3,389,825,244",56.78%
2020.02.25,"57,900",1100,1.94%,"23,885,408","1,389,642","-4,871,940","3,397,993,662",56.92%
2020.02.24,"56,800",-2400,-4.05%,"25,627,537","2,612,960","-8,498,289","3,402,458,142",56.99%
2020.02.21,"59,200",-800,-1.33%,"13,777,393","-2,388,943","773,385","3,410,863,577",57.14%
2020.02.20,"60,000",-200,-0.33%,"14,591,924","-389,665","-192,039","3,409,535,024",57.11%
2020.02.19,"60,200",400,0.67%,"12,951,496","697,276","-1,904,939","3,409,398,812",57.11%
2020.02.18,"59,800",-1700,-2.76%,"16,674,266","-2,458,387","-3,855,005","3,411,414,128",57.14%
2020.02.17,"61,500",-300,-0.49%,"8,740,596","471,048","-1,181,701","3,413,234,917",57.18%
2020.02.14,"61,800",1100,1.81%,"13,276,067","699,682","1,994,688","3,414,110,177",57.19%
2020.02.13,"60,700",200,0.33%,"18,449,775","-1,916,497","4,247,876","3,412,519,450",57.16%
2020.02.12,"60,500",600,1.00%,"12,904,207","1,516,828","-993,237","3,407,347,742",57.08%
2020.02.11,"59,900",200,0.34%,"11,071,231","1,889,247","-1,664,357","3,406,745,714",57.07%
2020.02.10,"59,700",-700,-1.16%,"13,107,121","-263,054","-1,696,826","3,408,617,784",57.10%
2020.02.07,"60,400",-700,-1.15%,"16,402,493","-2,436,611","534,484","3,411,100,410",57.14%
2020.02.06,"61,100",1600,2.69%,"14,727,159","2,483,655","816,472","3,411,082,935",57.14%
2020.02.05,"59,500",600,1.02%,"19,278,165","-4,459,274","4,061,210","3,409,834,163",57.12%
2020.02.04,"58,900",1700,2.97%,"21,800,192","-3,797,514","3,620,363","3,405,724,012",57.05%
2020.02.03,"57,200",800,1.42%,"23,995,260","1,076,953","-1,609,630","3,410,421,332",57.13%
2020.01.31,"56,400",-800,-1.40%,"19,749,457","1,648,681","-3,804,250","3,414,335,972",57.19%
2020.01.30,"57,200",-1900,-3.21%,"20,821,939","-2,262,500","-3,663,060","3,418,159,222",57.26%
2020.01.29,"59,100",300,0.51%,"16,446,102","-2,537,821","476,435","3,412,061,983",57.16%
2020.01.28,"58,800",-2000,-3.29%,"23,664,541","1,057,597","-5,330,482","3,408,109,848",57.09%
2020.01.23,"60,800",-1500,-2.41%,"14,916,555","-1,906,336","-2,262,365","3,412,832,338",57.17%
2020.01.22,"62,300",900,1.47%,"15,339,565","1,649,008","123,499","3,414,326,647",57.19%
2020.01.21,"61,400",-1000,-1.60%,"11,142,693","-1,255,045","-905,210","3,413,588,080",57.18%
2020.01.20,"62,400",1100,1.79%,"12,528,855","222,082","-213,817","3,412,169,171",57.16%
2020.01.17,"61,300",600,0.99%,"16,025,661","-1,267,549","976,840","3,411,538,909",57.15%
2020.01.16,"60,700",1700,2.88%,"14,381,774","-676,031","1,133,703","3,410,117,802",57.12%
